timestamp,metric_value,site,notes,extra_column_int,extra_column_flag
2024-10-27,78.638,A,sensor?,20,False
2024-10-16,59.077,A,ok,47,True
2024-03-27,48.473,A,ok,99,False
2024-02-07,55.633,A,ok,69,True
2024-12-18,69.407,A,ok,32,True
2025-02-22,77.339,C,ok,37,False
2024-03-14,57.168,A,manual,57,False
2024-08-04,67.362,A,ok,87,False
2024-04-14,53.878,C,ok,5,True
2024-06-08,60.333,C,manual,26,True
2024-09-05,,C,ok,75,True
2024-01-17,50.438,A,manual,58,True
2024-07-12,65.306,A,manual,33,True
2024-03-29,52.962,C,ok,99,False
2024-09-10,62.05,A,manual,15,False
2024-05-20,52.522,A,ok,5,True
2024-04-12,57.505,B,ok,42,False
2024-08-26,56.264,A,ok,4,False
2024-09-22,59.985,A,sensor?,84,True
2024-06-06,65.918,B,ok,6,True
2024-03-11,55.348,A,ok,11,False
2024-05-13,58.233,A,ok,32,True
2024-08-15,,C,ok,0,False
2024-04-11,62.528,C,ok,30,True
2024-11-16,72.034,A,manual,61,False
2024-06-23,49.404,C,manual,75,True
2024-12-01,78.145,A,manual,40,False
2024-08-27,58.837,A,ok,93,True
2024-01-19,49.529,A,ok,40,False
2024-11-23,71.914,A,manual,69,True
2024-01-21,45.296,B,ok,21,True
2024-02-25,45.832,B,ok,28,True
2024-08-23,54.386,B,ok,46,False
2024-12-26,76.802,B,ok,17,True
2024-12-07,81.497,A,ok,10,False
2024-02-04,57.622,A,sensor?,83,True
2024-05-30,74.763,A,ok,65,True
2024-10-15,59.49,A,ok,21,True
2024-07-07,61.52,A,ok,75,False
2024-09-11,62.758,A,sensor?,38,True
2024-04-07,58.104,B,ok,32,True
2024-12-03,82.833,B,ok,19,False
2024-06-03,79.675,B,sensor?,16,False
2024-05-02,58.814,A,ok,80,True
2024-04-23,45.812,A,manual,90,False
2024-11-04,82.125,A,sensor?,86,True
2024-10-08,63.51,B,ok,83,False
2024-08-16,55.223,C,ok,56,True
2024-04-18,53.729,A,ok,35,False
2024-07-25,53.266,C,ok,65,True
2024-04-04,54.727,B,sensor?,72,True
2024-11-02,79.476,A,ok,13,False
2024-05-05,62.055,B,manual,22,True
2024-09-23,58.627,B,sensor?,6,True
2025-02-13,71.823,A,sensor?,29,True
2024-04-01,55.345,B,manual,10,False
2025-02-09,78.667,A,sensor?,96,False
2024-12-24,72.49,A,ok,80,True
2024-08-10,64.565,C,ok,65,False
2025-02-19,75.107,A,ok,97,False
2024-04-13,59.201,C,sensor?,50,True
2024-04-10,59.024,C,ok,9,True
2024-01-25,44.368,A,ok,86,False
2024-10-01,71.471,C,ok,64,False
2024-10-23,60.41,B,sensor?,21,False
2024-11-03,83.871,A,ok,65,True
2024-05-06,65.379,B,sensor?,89,True
2024-12-12,73.79,A,ok,99,True
2024-03-19,51.76,B,manual,55,True
2024-09-21,58.074,C,ok,67,True
2024-06-27,55.759,A,ok,75,True
2024-02-28,48.163,B,ok,6,True
2024-09-02,63.672,B,manual,28,False
2024-11-12,74.002,A,manual,35,False
2025-01-25,72.84,A,ok,40,False
2024-10-28,71.78,A,ok,10,False
2024-03-02,53.322,B,sensor?,58,True
2024-10-24,59.72,A,ok,89,False
2024-04-03,57.767,A,sensor?,68,False
2025-01-20,,C,ok,3,False
2024-09-15,58.454,B,manual,52,True
2024-03-10,58.522,A,ok,45,False
2024-02-06,57.14,A,sensor?,13,False
2024-02-10,58.964,A,ok,11,True
2024-06-09,60.421,B,sensor?,82,True
2024-10-29,79.015,A,ok,42,False
2024-01-12,56.928,A,ok,63,True
2024-05-24,49.135,A,manual,43,True
2024-10-19,61.65,A,ok,19,False
2024-10-25,57.392,A,ok,9,True
2024-06-20,53.571,B,ok,58,True
2024-05-07,59.057,B,sensor?,26,False
2024-08-25,57.379,C,ok,53,True
2024-11-01,77.122,B,ok,7,False
2024-07-03,64.314,A,sensor?,21,True
2024-02-16,53.127,A,ok,19,False
2024-01-10,54.003,A,ok,60,False
2025-01-05,82.886,C,ok,38,True
2025-01-15,73.212,A,sensor?,19,True
2024-06-25,57.89,B,ok,50,False
2024-08-24,51.438,A,manual,2,False
2024-08-19,53.843,A,ok,38,True
2024-07-29,62.314,A,ok,39,True
2024-05-08,60.478,A,ok,14,True
2024-05-23,51.528,A,ok,8,True
2024-08-29,62.515,A,ok,37,False
2024-01-08,55.511,C,sensor?,69,False
2025-01-03,84.039,A,sensor?,97,False
2024-09-24,60.097,B,sensor?,36,False
2024-11-17,69.139,B,ok,41,True
2024-06-28,58.011,A,manual,71,True
2024-06-21,51.105,B,ok,25,False
2024-08-05,,C,ok,45,True
2024-11-09,78.478,A,ok,24,True
2024-10-14,61.39,A,ok,34,True
2024-10-11,62.027,C,ok,93,True
2024-01-09,56.307,B,manual,24,False
2024-06-05,63.478,A,ok,14,False
2024-01-28,48.676,B,manual,36,False
2024-03-05,59.292,B,ok,27,False
2024-09-12,64.115,C,ok,75,False
2024-09-28,64.974,C,manual,59,False
2024-06-02,77.614,A,ok,34,False
2024-02-18,50.462,A,ok,15,True
2024-07-27,55.293,B,ok,44,True
2024-01-02,48.695,C,ok,23,False
2024-10-04,66.408,B,ok,83,False
2024-10-10,,A,ok,84,True
2024-04-05,56.113,A,ok,11,True
2025-02-17,75.62,C,manual,36,True
2024-09-27,61.084,A,ok,21,False
2024-04-26,51.66,A,ok,41,False
2024-02-15,52.695,A,sensor?,28,False
2024-06-10,,A,ok,55,True
2024-11-22,67.172,A,ok,92,True
2024-04-27,52.113,A,ok,39,False
2024-03-18,51.631,A,ok,50,False
2024-11-29,76.887,B,ok,45,False
2024-03-04,57.999,C,ok,24,True
2024-08-18,52.124,A,ok,55,False
2024-07-05,65.043,A,ok,20,True
2024-12-30,81.521,B,ok,49,False
2024-07-18,54.631,B,ok,6,False
2024-04-12,57.505,B,ok,16,True
2024-05-01,57.471,A,ok,71,True
2025-01-30,84.396,B,manual,37,True
2025-01-02,81.429,B,sensor?,28,False
2024-06-07,62.261,B,ok,86,True
2024-03-26,50.079,A,ok,0,True
2024-08-13,61.31,A,ok,25,True
2024-09-19,57.119,A,sensor?,56,False
2024-12-08,80.031,C,manual,81,True
2024-03-17,51.312,A,ok,42,False
2024-11-27,78.641,A,sensor?,5,True
2024-11-14,74.126,C,ok,26,True
2024-03-28,50.657,C,ok,2,False
2024-04-17,51.819,A,manual,86,True
2024-07-01,,A,ok,36,False
2024-04-15,54.498,A,manual,36,False
2024-02-19,48.049,B,ok,2,False
2024-01-06,52.179,A,sensor?,62,False
2024-01-18,45.974,C,sensor?,36,False
2024-08-22,53.64,B,ok,71,False
2025-01-17,68.261,B,manual,10,False
2024-04-16,51.437,A,sensor?,67,True
2024-05-14,,B,ok,15,True
2024-12-10,81.708,B,ok,52,True
2024-08-14,65.834,B,ok,73,False
2024-08-02,63.854,A,manual,97,True
2024-07-09,68.575,C,ok,11,True
2025-01-11,76.187,C,ok,12,False
2024-10-09,69.306,A,manual,47,True
2024-01-30,51.214,A,ok,3,False
2024-06-18,53.506,B,ok,54,False
,61.857,A,sensor?,46,False
2024-04-10,59.024,C,ok,46,False
2024-07-16,55.976,B,ok,4,False
2024-07-28,57.893,B,ok,91,False
2024-05-15,53.905,C,ok,30,False
2025-02-04,83.84,B,ok,39,False
2024-12-31,86.322,A,sensor?,53,True
2024-07-17,55.912,B,ok,82,True
2024-06-15,59.005,B,sensor?,9,False
2024-11-24,70.286,A,ok,9,False
2024-05-16,,B,ok,53,True
2024-10-12,62.425,A,ok,47,False
2024-05-11,57.27,A,ok,91,False
2024-02-09,59.194,B,sensor?,60,True
2024-08-03,67.966,C,manual,95,False
2024-02-13,55.073,B,ok,45,True
2024-02-24,45.695,A,ok,93,False
2025-02-07,80.692,B,manual,27,False
2024-10-26,63.845,A,sensor?,41,False
2025-01-22,76.256,B,ok,57,False
2024-10-31,78.816,A,sensor?,17,False
2024-02-05,59.689,A,ok,23,True
2024-11-11,74.294,B,sensor?,52,False
2024-11-05,84.787,B,manual,18,True
2024-10-03,66.973,A,sensor?,17,False
2024-05-04,62.466,B,manual,49,False
2024-05-22,45.481,B,sensor?,0,False
2024-04-20,51.141,A,sensor?,78,True
2024-11-19,71.328,A,manual,80,True
2024-11-28,76.54,B,ok,11,True
2025-01-07,83.425,A,manual,39,False
2024-04-17,51.819,A,manual,76,False
2024-01-13,54.265,C,sensor?,28,False
2024-09-29,65.18,B,ok,89,True
2024-02-17,50.362,A,manual,94,False
2024-07-22,55.332,A,ok,85,True
2024-12-29,78.207,C,ok,32,False
2024-04-29,53.834,B,ok,23,False
2024-01-22,43.594,B,ok,65,True
2024-03-24,47.04,A,ok,79,False
2024-05-10,60.427,B,ok,87,False
2024-11-25,73.161,A,ok,75,True
2024-08-17,55.753,A,manual,74,False
2025-02-23,82.136,A,ok,53,True
2024-10-13,63.063,A,sensor?,5,True
2024-05-03,62.796,C,ok,16,False
2024-02-03,53.067,A,manual,13,True
2025-02-05,84.092,A,sensor?,77,False
2024-01-05,49.772,A,sensor?,48,False
2024-01-20,46.323,B,ok,28,False
2024-08-07,64.42,B,ok,61,False
2024-04-14,53.878,C,ok,72,False
2024-12-22,73.12,A,sensor?,57,True
2024-05-29,74.257,A,sensor?,33,True
2024-08-12,62.166,A,manual,28,False
2024-09-04,72.349,A,sensor?,25,True
2025-01-12,70.546,C,sensor?,65,True
2024-05-31,73.866,C,sensor?,74,False
2024-11-13,70.947,A,manual,34,False
2024-10-18,58.565,A,sensor?,46,True
2024-08-21,58.169,C,sensor?,37,True
01/15/2024,57.872,B,ok,64,False
2024-10-06,69.681,B,manual,9,True
2024-03-12,55.015,A,sensor?,71,False
2024-09-09,69.877,C,manual,56,True
2024-04-02,55.774,B,ok,9,True
2024-12-15,,B,manual,20,True
2025-01-09,80.485,B,manual,58,True
2024-07-11,61.733,C,ok,8,False
2024-09-14,58.886,B,ok,13,False
2024-12-05,83.41,B,sensor?,96,False
2025-02-20,78.121,A,ok,34,True
2024-07-14,57.071,A,sensor?,16,False
2024-12-09,79.847,A,ok,69,False
2024-05-17,56.194,C,manual,28,True
2024-09-17,56.619,A,ok,31,False
2024-02-08,55.72,B,ok,77,False
2024-07-20,57.407,B,ok,69,False
2025-02-01,85.49,B,ok,80,True
2024-10-17,58.016,B,sensor?,58,False
2024-07-08,68.855,B,ok,96,False
2024-09-08,67.294,A,ok,34,True
2024-04-22,47.894,A,ok,83,False
2024-07-02,65.028,C,ok,41,False
2024-06-01,73.509,A,ok,82,False
2024-11-08,82.779,A,ok,36,True
2024-11-21,72.144,C,sensor?,3,False
2024-07-10,63.127,C,manual,75,False
2024-02-14,53.639,A,ok,99,True
2024-10-02,69.287,B,sensor?,77,False
2024-01-07,56.312,B,ok,45,True
2024-09-07,66.209,B,manual,82,True
2024-11-07,80.401,A,ok,34,True
2024-03-16,999.0,A,ok,15,False
2024-01-01,50.762,B,ok,76,True
2025-01-26,,B,ok,43,True
2025-01-18,69.185,A,sensor?,79,False
2024-03-09,61.358,C,ok,66,False
2024-06-16,56.493,C,ok,42,True
2025-01-27,79.972,B,ok,43,False
2024-08-06,65.987,A,ok,19,False
2024-02-12,53.868,A,ok,39,True
2025-01-01,81.318,A,ok,49,True
2024-12-11,71.31,C,sensor?,14,False
2024-03-13,,C,ok,83,True
2024-01-24,44.744,C,sensor?,29,False
2025-02-02,86.29,C,manual,93,False
2024-07-04,67.866,C,ok,62,True
2024-12-14,69.13,A,sensor?,4,False
2024-04-13,59.201,C,sensor?,20,True
2025-02-11,79.061,A,ok,38,False
2024-07-30,58.003,A,manual,18,True
2024-03-08,58.009,A,ok,22,True
2024/02/01,45.117,B,ok,57,False
2024-07-15,59.716,A,ok,17,False
2024-06-24,53.589,A,sensor?,20,False
